url,brand,product_name, sale_price , mrp 
https://in.puma.com/in/en/pd/speedcat-ballet-womens-metallic-shoes/401581?swatch=01,Puma,Speedcat Ballet Women's Metallic Shoes,," ? 6,999.00 "
https://in.puma.com/in/en/pd/speedcat-suede-ballet-womens-shoes/401287?swatch=01,Puma,Speedcat Suede Ballet Women's Shoes,," ? 6,999.00 "
https://in.puma.com/in/en/pd/softride-seave-v1-flip-flops/391841?swatch=07,Puma,SOFTRIDE Seave V1 Flip-Flops,," ? 2,499.00 "
https://in.puma.com/in/en/pd/future-rider-twofold-sneakers/380591?swatch=07,Puma,Future Rider Twofold Sneakers," ? 4,499.00 "," ? 7,499.00 "
https://in.puma.com/in/en/pd/easy-rider-senorita-womens-retro-sneakers/403353?swatch=01,Puma,Easy Rider Senorita Women's Retro Sneakers," ? 7,199.00 "," ? 7,999.00 "
https://in.puma.com/in/en/pd/mb-01234-mash-up-lightweight-basketball-shoes/312855?swatch=01,Puma,MB.01234 Mash-Up Lightweight Basketball Shoes,," ? 13,999.00 "
https://in.puma.com/in/en/pd/hypnotic-all-day-comfort-sneakers/395235?swatch=12,Puma,Hypnotic All-Day Comfort Sneakers," ? 3,639.00 "," ? 6,999.00 "
https://in.puma.com/in/en/pd/all-pro-nitro-2-basketball-shoes/312307?swatch=04,Puma,All-Pro NITRO™ 2 Basketball Shoes,," ? 11,999.00 "
https://in.puma.com/in/en/pd/scuderia-ferrari-rs-x-mid-motorsport-sneakers/307959?swatch=03,Puma,Scuderia Ferrari RS-X Mid Motorsport Sneakers," ? 9,749.00 "," ? 12,999.00 "
https://in.puma.com/in/en/pd/inverse-shades-of-sneakers/402344?swatch=02,Puma,Inverse Shades Of Sneakers," ? 9,599.00 "," ? 11,999.00 "
https://in.puma.com/in/en/pd/palermo-premium-leather-sneakers/406000?swatch=01,Puma,Palermo Premium Leather Sneakers,," ? 7,999.00 "
https://in.puma.com/in/en/pd/easy-rider-mesh-retro-sneakers/399662?swatch=02,Puma,Easy Rider Mesh Retro Sneakers," ? 8,099.00 "," ? 8,999.00 "
https://in.puma.com/in/en/pd/long-distance-nitro-elite-3-lightweight-running-shoes/312330?swatch=01,Puma,Long Distance NITRO™ Elite 3 Lightweight Running Shoes,," ? 14,999.00 "
https://in.puma.com/in/en/pd/suede-charles-f--stead-iv-sneakers/403766?swatch=02,Puma,Suede Charles F. Stead IV Sneakers,," ? 10,999.00 "
https://in.puma.com/in/en/pd/daisy-womens-flip-flops/387542?swatch=06,Puma,Daisy Women's Flip Flops," ? 1,619.00 "," ? 1,799.00 "
https://in.puma.com/in/en/pd/puma-softride-seave-platform-flip-flops/391864?swatch=01,Puma,PUMA Softride Seave Platform Flip-Flops," ? 1,959.00 "," ? 2,799.00 "
https://in.puma.com/in/en/pd/speedcat-zebra-womens-sneakers/403356?swatch=01,Puma,Speedcat Zebra Women's Sneakers," ? 8,249.00 "," ? 10,999.00 "
